title,price,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
Residential Bungalow With Land On Sale At Imadol,"15,00,00,000","Lalitpur, Mahalaxmi, Kamal PokhariClosed with Kamalpokhari, On the way of Lubhu.",Lalitpur,3 Floors,,5 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6692
Semi Commercial House On Sale At Gothatar,"2,70,00,000","Kathmandu, Kageshwari Manohara, MahantarOn the way of Mahantar chowk to Airport height",Kathmandu,2.5 Floors,,6 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6685
"Commercial Building On Sale At Sanepa, Lalitpur","17,00,00,000","Lalitpur, Indrayani Height1 kitta Outside from ring road.",Lalitpur,5 Floors,,6 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6679
Flat system house On Sale near balkot Chowk,"2,35,00,000","Bhaktapur, Suryabinayak",Bhaktapur,3 Floors,,5 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6677
"Commercial Building On Sale At Satdobato, Lalitpur","5,50,00,000","Lalitpur, Chapagaun dobatoExactly at chapagaun dobato.",Lalitpur,4 Floors,,5 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6674
"Residential House On Sale At Imadol, Lalitpur","1,60,00,000","Lalitpur, Mahalaxmi300 meter near from Krishna Mandir, Imadol.",Lalitpur,3 Floors,,5 Bed Room,3 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6673
"Residential House On Sale At Lokanthali, Bhaktapur","1,85,00,000","Bhaktapur, Madhyapur Thimi, Sangam,Chowk500 meter from lokanthali chowk araniko highway. In between thimi chowk and araniko highway.",Bhaktapur,1 Floors,,2 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6668
"House on sale. Near Cozy home, Imadol","1,35,00,000","Lalitpur, Mahalaxmi",Lalitpur,3 Floors,,3 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6658
"Residential 2 Stores House On Sale At Goldhunga, Balaju","1,40,00,000","Kathmandu, Tarkeshwar, Shesmati1.5 KM From Machhapokhari chowk.",Kathmandu,2 Floors,,4 Bed Room,2 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6657
Residential Land With 2.5 Stored House On Sale At Tahachal Bagaicha Marg,"10,80,00,000","Kathmandu, bagaicha marg100 meter south from Kalash Apartment, 200 meter north from Salt Trading",Kathmandu,2 Floors,,8 Bed Room,6 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6654
"Fully Furnished 2.5 Stores Bungalow On Sale At Balkumari, Lalitpur","2,70,00,000","Lalitpur, Mahalaxmi, Balkumari200 meter east from Namaste Petrol Pump and KFC.",Lalitpur,2.5 Floors,,4 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6650
Commercial Building on Sale at Kupandol,"9,25,00,000","Lalitpur, KandevtasthanFront of Kandevsthan",Lalitpur,4.5 Floors,,4 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6647
"Commercial Building For Sale At Chapali Ghumti, Budhanilkantha","8,00,00,000","Kathmandu, Budhanilkantha, GhumtiOpposite of budhanilkantha municipality ward no 2 office.",Kathmandu,3 Floors,,6 Bed Room,6 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6636
2.5 Storey Residential House For Sale At Imadol,"1,40,00,000","Lalitpur, Mahalaxmi, Swimming pool1 KM From Gwarko Chowk.",Lalitpur,3 Floors,,4 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6635
Commercial Cum Residential Two Houses For Sale At Dillibazar,"8,00,00,000","Kathmandu, Maitidevi100 meter from maitidevi main road,Near from SAB School Dillibazar.",Kathmandu,3 Floors,,4 Bed Room,9 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6625
Commercial Property On Sell At Sukedhara Height,"5,10,00,000","Kathmandu, Sukedhara Heighton the way to bishalnagar. right accross the ringroad on the height",Kathmandu,3 Floors,,15 Bed Room,6 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6619
Residential 2.5 Stores House For Sale At Imadol Lalitpur,"1,65,00,000","Lalitpur, Mahalaxmi1.5 KM from ring road",Lalitpur,2.5 Floors,,6 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6613
Commercial Shutter For Sale At NBTC Kalanki,"65,00,000","Kathmandu, Khasibazar",Kathmandu,1 Floors,,6 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6611
Commercial Property For Sale At Hattisar,"5,25,00,000",KathmanduOpposite to laxmi bank.,KathmanduOpposite to laxmi bank.,3 Floors,,6 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6610
"2.5 Stores Residential House For Sale At Shital Height, Imadol, Lalitpur","1,25,00,000","Lalitpur, Mahalaxmi, Shital Height400 meter south from Mahalaxmi Municipality office",Lalitpur,2.5 Floors,,5 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6608
"Residential House For Sale At Shital Height, Imadol, Lalitpur","1,10,00,000","Lalitpur, Mahalaxmi, Shital Height400 meter south from Mahalaxmi Municipality office",Lalitpur,1 Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6607
"Residential Semi Bungalow For Sale At Imadol, Lalitpur","2,70,00,000","Lalitpur, Mahalaxmi, Kudaku50 meter near from Central Engineering College, 600 meters from Ring road.",Lalitpur,2.5 Floors,,7 Bed Room,4 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6603
House For Sell At Balkot Rose Village (fully Furnished),"2,75,00,000","Bhaktapur, Balkot, Balkot Rose Village.",Bhaktapur,3 Floors,,4 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6579
"Residential Bungalow For Sale At Nakhkhu,Lalitpur","3,70,00,000","Lalitpur, Ward no.-18250 meter near from Nepal Medicity Hospital.",Lalitpur,3 Floors,,6 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6574
"Residential House on Sale at Jorpati, Makalbari area, phulbari chowk, gokarneshwor school ko Pachadi","1,30,00,000","Kathmandu, Jorpati, MakalbariMakalbari area, phulbari chowk, gokarneshwor school ko Pachadi",Kathmandu,3 Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6571
"Residential 3.5 storey House on Sale at Budhanilkantha, 500 m from Rudreshwar Chowk, Inside Buddha colony","10,75,00,000","Kathmandu, Bishnu Budhanilkantha, Buddha Colony500 m from ringroad Shoe Factory",Kathmandu,3 Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6569
"Residential 2 Storey House on Sale at Thankot, between Tribhuvan Park & Chandragiri Cable car","1,25,00,000","Kathmandu, Thankotbetween Tribhuvan Park & Chandragiri Cable car",Kathmandu,3 Floors,,6 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6556
"3 Storey Commercial Cum Residential House on Sale at Highvision Colony, Chan","1,85,00,000","Kathmandu, ChandragiriInside Highvision Colony, 300 m from Prithvi Highway",Kathmandu,3 Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6547
"2 Storey Residential House on Sale at Dahachowk, 3 kitta inside from Nagdhunga main road","1,50,00,000","Kathmandu, Dahachok, Srijana chowk3 kitta inside from Nagdhunga main road",Kathmandu,3 Floors,,4 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6544
"4 Storey Residential Flat System House on Sale at Gongabu, 30 m near from Ganesh Temple, Gongabu","1,90,00,000","Kathmandu30 m near from Ganesh Mandir, Gongabu",Kathmandu30 m near from Ganesh Mandir,3 Floors,,8 Bed Room,4 Bath Room,4 Living Room,4 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6543
"Residential Bungalow on Sale at Gothatar, nearby Aksharica School","2,10,00,000","Kathmandu, Gothatar700 m ahead Mulpani road from Tej Binayak School",Kathmandu,3 Floors,,7 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6517
इसिमोड नजिकै ललितपुर मा आवासिय घर विक्रिमा,"1,65,00,000",LalitpurNearby GEMS School,LalitpurNearby GEMS School,4 Floors,,5 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6508
Residential House For Sale At Chapali Budhanilkantha,"3,95,00,000","Kathmandu, Budhanilkantha, Mahadev colony150 meter east from budhanilkantha road",Kathmandu,4 Floors,,5 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6507
"2.5 Storey Residential House on Sale at Basundhara, 500 m from Basundhara Chowk, Dahal gauda chowk","1,70,00,000","Kathmandu500 m from Basundhara Chowk, Dahal gauda chowk",Kathmandu500 m from Basundhara Chowk,4 Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6486
"Residential House on Sale at Saraswoti Colony, Imadol(Price Negotiable)","2,00,00,000","Lalitpur, Imadol, Saraswoti Colony100 m from main road,nearby Ganesh Memorial School",Lalitpur,4 Floors,,5 Bed Room,4 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6474
Land For Sale At Aakasedhara Kapan,"11,52,00,000","Kathmandu, Budhanilkantha, Aakasedhara",Kathmandu,4 Floors,,5 Bed Room,4 Bath Room,2 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6472
"Residential Semi Bungalow on Sale at Sitapakha, Hattiban, 400 m near from Godawari main road","1,65,00,000","Lalitpur, Harisiddhi400 m near from Godawari main road, 150 m East from Little Angle School, 300 m near from Rajiv Gandhi Cancer Hospital",Lalitpur,4 Floors,,5 Bed Room,3 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6456
"3.5 Storey Residential Bungalow on Sale/Rent at Kumaristhan, Chabahil","2,80,00,000","Kathmandu60 m from ringroad, opposite of Nabil Bank",Kathmandu60 m from ringroad,4 Floors,,8 Bed Room,6 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6447
"Commercial Cum Residential House on Sale at Bishal Chowk, Nakhipot","2,50,00,000",Lalitpur700 m from Satdobato chowk,Lalitpur700 m from Satdobato chowk,4 Floors,,7 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6444
Flat System House on Sale at Dhapakhel Height,"1,75,00,000","Lalitpur, Dhapakhel600 m from LA School",Lalitpur,4 Floors,,3 Bed Room,2 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6436
"Residential House For Sale at Baghdol, Lalitpur","2,15,00,000",Lalitpur650 meter near from ringroad.,Lalitpur650 meter near from ringroad.,4 Floors,,3 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6400
"Residential House on Sale at Tikathali, 2.5 km East from Gwarko Chowk","87,00,000","Lalitpur, Tikathali, Pani Tanki2.5 km East from Gwarko Chowk",Lalitpur,4 Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6399
Brand New Bungalow on Sale at Bhainsepati,"3,50,00,000","Lalitpur, Sainbu BhainsepatiNear from Nayabazar Training Center",Lalitpur,4 Floors,,5 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6394
"Newly Built 1.5 Storey House on Sale at Godawari, in between Beer Factory & Vrikuti Hotel","85,00,000","Lalitpur, GodawariIn between Beer Factory & Vrikuti Hotel",Lalitpur,4 Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6393
"Residential Flat System House on Sale at Dhapakhel, near from Gems School & Sumeru Hospital","2,10,00,000","Lalitpur, Dhapakhelnear from Gems School & Sumeru Hospital",Lalitpur,4 Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6392
"Residential House on Sale at Imadol, near from Mahalaxmi Municipality Office","1,55,00,000","Lalitpur, Imadol1 kitta inside from Shital Height road,infront of Cozy Homes",Lalitpur,4 Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6391
"Residential House on Sale at Imadol, near from Mahalaxmi Municipality Office","1,50,00,000","Lalitpur, Imadol1.5 km from Gwarko Chowk, 150 m from Lubhu main road",Lalitpur,4 Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6390
Brand New Residential Semi Bungalow House on Sale at Gothatar(Price Negotiable),"2,40,00,000","Kathmandu, Gothatar100 m inside from Mulpani main road",Kathmandu,4 Floors,,5 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6380
"Residential House on Sale at Imadol, 1 Km from Krishna Mandir","1,05,00,000","Lalitpur, Dhapakhel, B&B Hospital1 Km from Krishna Mandir",Lalitpur,4 Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6374
"Residential 2.5 Storey Bungalow House on Sale at Dhapakhel, 500 m from Gems School","1,60,00,000","Lalitpur, Dhapakhel500 m from Gems School",Lalitpur,4 Floors,,5 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6371
Brand New House on Sale at Tikathali,"1,45,00,000","Lalitpur, Tikathali",Lalitpur,4 Floors,,5 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6369
"House on Sale at Sitapaila, 200 m from Sitapaila Chowk","2,85,00,000","Kathmandu, Sitapaila200 m from Sitapaila Chowk",Kathmandu,4 Floors,,6 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6352
"3.5 Storey Commercial House on Sale at Imadol, near petrol pump","2,25,00,000","Lalitpur, Imadol100 m near from Lubhu Highway, 2 km from Gwarko Chowk",Lalitpur,4 Floors,,6 Bed Room,4 Bath Room,2 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6346
"2.5 Storey House on Sale at Tikathali, near Buddha Party Palace (Price Negotiable)","1,70,00,000","Lalitpur, Tikathali150 m from Buddha Party palace, 300 m from Lubhu main road",Lalitpur,4 Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6344
"Residential 3 Storey House on Sale at Imadol Shital Height, 200 m from Mahalaxmi Municipality Office","1,55,00,000","Lalitpur, Imadol, Shital Height200 m from Mahalaxmi Municipality office, on the way of Shital Height",Lalitpur,4 Floors,,4 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6340
Residential House on Sale/Rent at Duwakot,"2,25,00,000","Bhaktapur, Duwakot300 m near from KMC Medical College",Bhaktapur,4 Floors,,7 Bed Room,3 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6338
"Residential 2.5 storey House on Sale at Shital Height, Imadol, 500 m from Mahalaxmi Municipality","1,40,00,000","Lalitpur, Imadol500 m from Mahalaxmi Municipality",Lalitpur,4 Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6334
"Residential Modern Bungalow House on Sale at Nakhu, 300 m from Medicity Hospital","2,35,00,000",Lalitpur300 m from Medicity Hospital,Lalitpur300 m from Medicity Hospital,4 Floors,,5 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6294
"Residential Flat System House on Sale at Nakhu, 300 m from Medicity Hospital","2,50,00,000",Lalitpur300 m from Medicity Hospital,Lalitpur300 m from Medicity Hospital,4 Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6293
"Residential Bungalow House on Sale at Nakhu, 100 m from Medicity Hospital","2,50,00,000",Lalitpur100 m from Medicity Hospital,Lalitpur100 m from Medicity Hospital,4 Floors,,4 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6292
"Residential Bungalow House on Sale at Bagdol, 200 m from Ringroad","3,25,00,000",Lalitpur,Lalitpur,4 Floors,,6 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6291
"3BHK Apartment on Sale at Sunrise Apartment, near Medicity Hospital","1,10,00,000",LalitpurNear Medicity Hospital,LalitpurNear Medicity Hospital,4 Floors,,3 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6277
"Residential Bungalow House on Sale at Jorpati, near from Saraswati High School","3,20,00,000","Kathmandu, JorpatiNear from Saraswati High School",Kathmandu,4 Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6259
"Residential House For Sale At Nayabasti, Jorpati","1,50,00,000","Kathmandu, Kageshwari Manohara50 meter inside from bagmati corridor.",Kathmandu,4 Floors,,6 Bed Room,2 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6255
"Residential Bungalow House on Sale at Machchhegaun, Chandragiri","85,00,000","Kathmandu, Chandragiri, Amarabati HousingNear from Khusi Khusi Hotel",Kathmandu,4 Floors,,3 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6246
"Residential Bungalow House on Sale at Machchhegaun, Chandragiri","85,00,000","Kathmandu, Chandragiri, Amarabati HousingNear from Khusi Khusi Hotel",Kathmandu,4 Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6244
"Residential Bungalow House on Sale at Machchhegaun, Chandragiri","75,00,000","Kathmandu, Chandragiri, Amara Bati HousingInside Amara Bati Housing",Kathmandu,4 Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6241
"Residential House on Sale at Bafal,500 m from Soaltee main Gate","4,00,00,000",Kathmandu500 m from Soaltee main Gate,Kathmandu500 m from Soaltee main Gate,4 Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6238
"Residential House with Land on Sale at Sukedhara, 500 m from Sukedhara Chowk","2,50,00,000","Kathmandu, New Colony500 m from Sukedhara Chowk",Kathmandu,4 Floors,,6 Bed Room,5 Bath Room,3 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6235
"Residential Cum Commercial  House on Sale at Chabahil, Opposite of Siddhartha Bank","95,00,000","Kathmandu, Sharaswati NagarOpposite of Siddhartha Bank,nearby GopiKrishna Hall",Kathmandu,4 Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6234
Modern Beautiful Bungalow For Sale At Bhainsepati,"2,30,00,000","Lalitpur, Karyabinayak, Sainbu",Lalitpur,3 Floors,,5 Bed Room,5 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6218
"Residential Bungalow on Sale at Bhainsepati, 50 m from Bhainsepati Highway","3,30,00,000","Lalitpur, Sainbu Bhainsepati, Mahila Samuha Marg50 m from Bhainsepati Highway",Lalitpur,3 Floors,,4 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6210
"House on Sale at Devghat, nearby Harihar Ashram","41,00,000","Tanahun, Devghat, Devghatdhamnearby Harihar Ashram",Tanahun,3 Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6197
